Name,Account,Political group,Nationality
GERINGER de OEDENBERG Lidia Joanna,@lidiageringer,S&D,Poland
GIEGOLD Sven,@sven_giegold,Greens,Germany
GIEREK Adam,@AdamGierek,S&D,Poland
GIESEKE Jens,,EPP,Germany
GILL Nathan,@NathanGillMEP,EFDD,UK
GILL Neena,@NeenaGmep,S&D,UK
GIMENEZ BARBAT Maria Teresa,@gimenezbarbat,ALDE,Spain
GIRLING Julie,@juliegirling,ECR,UK
GIUFFRIDA Michela,@m_giuffrida,S&D,Italy
GODDYN Sylvie,@Sylvie_Goddyn,ENF,France
GOERENS Charles,@CharlesGoerens,ALDE,Luxembourg
GOLLNISCH Bruno,@brunogollnisch,NI (Front National),France
GOMES Ana,@AnaGomesMEP,S&D,Portugal
GONZÁLEZ PEÑAS Tania,@TaniaGonzalezPs,GUE/NGL,Spain
GONZÁLEZ PONS Esteban,@gonzalezpons,EPP,Spain
GOSIEWSKA Beata Barbara,@BeataGosiewska,ECR,Poland
GOULARD Sylvie,@GoulardSylvie,ALDE,France
GRAAFF Marcel de,@MJRLdeGraaff,ENF,Netherlands
GRAMMATIKAKIS Giorgos,,S&D,Greece
GRANDES PASCUAL Luis de,,EPP,Spain
GRAPINI Maria,@MariaGrapini,S&D,Romania
GRÄSSLE Ingeborg,@inge_graessle,EPP,Germany
GRASWANDER-HAINZ Karolie,,S&D,Austria
GRIESBECK Nathalie,@ngriesbeck,ALDE,France
GRIFFIN Theresa,@TheresaMEP,S&D,UK
GRIGULE Iveta,@IvetaGrigule,ALDE,Latvia
GROOTE Matthias,@Groote,S&D,Germany
GROSSETÊTE Françoise,@GrosseteteF,EPP,France
GRZYB Andrzej,@GrzybAndrzej,EPP,Poland
GUALTIERI Roberto,@gualtierieurope,S&D,Italy
GUERRERO SALOM Enrique,,S&D,Spain
GUILLAUME Sylvie,@sylvieguillaume,S&D,France
GUOGA Antanas,@TonyGuoga,ALDE,Lithuania
GUTELAND Jytte,@JytteGuteland,S&D,Sweden
GUTIÉRREZ PRIETO Sergio,@Sergio_GP,S&D,Spain
GYÜRK András,,EPP,Hungary
HADJIGEORGIOU Takis,@thadjigeorgiou,GUE/NGL,Cyprus
HALLA AHO Jussi,@Halla_aho,ECR,Finland
HÄNDEL Thomas,@thaendel,GUE/NGL,Germany
HANNAN Daniel,@DanielJHannan,ECR,UK
HARKIN Marian,@MarianHarkin,ALDE,Ireland
HARMS Rebecca,@RebHarms,Greens,Germany
HÄUSLING Martin,@MartinHaeusling,Greens,Germany
HAUTALA Heidi,@HeidiHautala,Greens,Finland
HAYES Brian,@brianhayesMEP,EPP,Ireland
HAZEKAMP Anja,@anjahazekamp,GUE/NGL,Netherlands
HEDH Anna ,@AnnaHedh,S&D,Sweden
HELMER Roger,@RogerHelmerMEP,EFDD,UK
HENKEL Hans Olaf,@HansOlafHenkel,ECR,Germany
HERRANZ GARCÍA Esther,,EPP,Spain
HETMAN Krzysztof,@Hetman_K,EPP,Poland
HEUBUCH Maria,@MariaHeubuch,Greens,Germany
HOC Czeslaw,,ECR,Poland
HOFFMAN Iris,,S&D,Germany
HOHLMEIER Monika,@MonikaHohlmeier,EPP,Germany
HÖKMARK Gunnar,@ghokmark,EPP,Sweden
HÖLVÉNYI György,,EPP,Hungary
HONEYBALL Mary,@maryhoneyball,S&D,UK
HOOKEM Mike,@MikeHookemMEP,EFDD,UK
HORTEFEUX Brice,@BriceHortefeux,EPP,France
HOWITT Richard,@richardhowitt,S&D,UK
HÜBNER Danuta Maria,@danutahuebner,EPP,Poland
HUDGHTON Ian,@hudghtonmepSNP,Greens,UK
HUITEMA Jan,@jhuitema,ALDE,Netherlands
HYUSMENOVA Filiz,,ALDE,Bulgaria
IN 'T VELD Sophia,@SophieintVeld,ALDE,Netherlands
IOTOVA Iliana,@IlianaIotovaMEP,S&D,Bulgaria
ITURGAIZ Carlos,@carlositurgaiz,EPP,Spain
IVAN Cătălin Sorin,@Catalin_Ivan,S&D,Romania
IWASZKIEWICZ Robert Jarosław,,EFDD,Poland
